"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2026/02/21","消費税","-3600","アメリカン・エキスプレスカード","食費","食費","","0","I8W8vLd0T1buUS28AnDM5ek8exZKxQ2HuYjTGOVjGuU"
"1","2026/02/21","基本カード年会費","-36000","アメリカン・エキスプレスカード","その他","雑費","","0","BruAYoSyadty8tUJtbfXZTMizwuZS9xdNm24MNU-oiY"
"1","2026/02/20","マクドナルドモバイルオーダー","-130","d払い","食費","外食","","0","ux7bAzD4ifqUTS1n6O9B2oFZ069hY9uENBeFOFY4Vu8"
"1","2026/02/20","マクドナルドモバイルオーダー(ポイント利用分)","130","d払い","未分類","未分類","","0","m85hvbGxLipO0FtehUCab-afl2lxnCYyo2F5XBC8xVI"
"1","2026/02/20","マイバスケツト","-476","楽天カード","食費","食料品","","0","tl-sbkBVqXoE50w-bWesE5UpeXS_cHWkXyEBvB09ZEM"
"1","2026/02/20","SQ*ザマラサダトウキヨウ","-1280","楽天カード","未分類","未分類","","0","iY_oIQAedfOFJisEpzoHEVEz1d4rzNr54KeYRUYgKnM"
"1","2026/02/20","Amazonギフト券・Amazonショッピングカードの金額","44000","Amazon.co.jp","未分類","未分類","","0","Fz46IWffEQWLyXrGdNk3yQtaxY394X1tCjT3wIEH6vA"
"1","2026/02/20","パナソニック ポケット型補聴器 PHI-A35 簡単操作 ハイパワー設計 中等度から高度難聴まで対応 管理医療機器 販売: GREEN STEP","-44000","Amazon.co.jp","趣味・娯楽","映画・音楽・ゲーム","","0","XpDPi9UivaJ1P6iMm0L5327Qqpzvh783nMhodWmP0t4"
"1","2026/02/20","Amazonギフト券・Amazonショッピングカードの金額","11500","Amazon.co.jp","未分類","未分類","","0","VWunULulIrKdLiGCFDD2Y9QD_hcBvzMv5PzCzaPIFNw"
"1","2026/02/20","MTG ReFa DOUBLE RAY(リファダブルレイ) 販売: エルフィンショップ","-11500","Amazon.co.jp","未分類","未分類","","0","rORT_U7cf-uO00Qtj7vC1vX-D6r0uVyqJn8AnvH6pxY"
"1","2026/02/20","Amazonギフト券・Amazonショッピングカードの金額","3827","Amazon.co.jp","未分類","未分類","","0","W7S60XOHNyxByHpUkseGx8_gAIj6xFgO88XuPSNEcCQ"
"1","2026/02/20","NARUMI(ナルミ) カップ ソーサー セット ソラリア 200cc ブルー 蔦柄 ペア コーヒーカップ&ソーサー かわいい おしゃれ 上品で美しい絵柄 結婚祝い プレゼント ギフト箱入り 8128-21220P 販売: Amazon.co.jp","-3827","Amazon.co.jp","衣服・美容","衣服","","0","wEhEGP2PsxfhhpA3cBtvkwX4DM6iMYw1Iee3achb__4"
"1","2026/02/20","NETFLIX.COM","-890","麻梨奈三井住友カード","趣味・娯楽","映画・音楽・ゲーム","","0","daQDakfu4ZG-9F86twGQOjtOUWwHtvkUIGhoRET1hnQ"
"1","2026/02/20","フリカエ PAYPAY (S24260220070524041E9)","-5000","麻梨奈SBI","未分類","未分類","","0","RLAI_-nAjkohEb3Nl4Sec1RU_E3Ds3_PsGtzfZdctEc"
"1","2026/02/20","証書貸付","-88916","TB","その他","事業経費","","0","UvkarZTXEaNYp3TTy1j4YJKHT0E868nDFgTUkJxhMYQ"
"1","2026/02/20","証書貸付","-34001","TB","その他","事業経費","","0","IOhImR-pOpgxkRjQa1kbDBTWEUwo3uVI_kGFRIDWAjM"
"1","2026/02/19","マクドナルドモバイルオーダー","-740","d払い","食費","外食","","0","y-ongsx87PgWVKbv8N22cTOr40rbqjfV1xztwswYCkg"
"1","2026/02/19","マクドナルドモバイルオーダー(ポイント利用分)","740","d払い","未分類","未分類","","0","KO8ISItCKT7WX006Iq9k9JdFpVznSYhOUnzqL5RJcK0"
"1","2026/02/19","トウキヨウデイズニ-リゾ-ト","-1040","楽天カード","趣味・娯楽","アウトドア","","0","unnuAL7xogrGjD13PBj_L9ZIxSG8cJO729BOfh0JL1o"
"1","2026/02/19","トウキヨウデイズニ-リゾ-ト","-11600","楽天カード","趣味・娯楽","アウトドア","","0","_DrQeZR76j-TglO8wGlF70gp6Sk72eAXIQs0QjFjSJE"
"1","2026/02/19","カブシキガイシヤポピンズ","-30390","楽天カード","未分類","未分類","","0","Ly5JrQOzyfRjkQ-3RhutKH-pOHhOd7hW-0g_fYXv4-g"
"1","2026/02/19","GU MODE楽天市場店","-14784","楽天カード","未分類","未分類","","0","BzrnhlW6jzrMXGNxsUUq_uO3x13c-pspBBtHKcJ3rP0"
"1","2026/02/19","株式会社Luup","-290","VIEW CARD","交通費","交通費","","0","xEyICjWkONqAg3Jor7e7WuiVY7TzOv0OEEoZL1GaVHU"
"1","2026/02/19","Looopでんき","-11321","麻梨奈三井住友カード","水道・光熱費","電気代","","0","D1Mj56Jys5t4S2E_ijquZHWZsqTr_1NCnG7XAbJJSzc"
"1","2026/02/18","マクドナルドモバイルオーダー","-370","d払い","食費","外食","","0","_cLwFPURBFCwvcec7FweHJAg175JJ2p-vjL6MADlLzE"
"1","2026/02/18","マクドナルドモバイルオーダー(ポイント利用分)","370","d払い","未分類","未分類","","0","l6oH7skNHnISX98mBkOJeBNGYCwOKeO7meU3wZVUnC8"
"1","2026/02/18","イト-ヨ-カド- キハ","-999","楽天カード","食費","食料品","","0","9xCz-he4lPjuA7fkfjCPXc-wnIApltjhao7LdQCtTGI"
"1","2026/02/18","Amazonギフト券・Amazonショッピングカードの金額","8800","Amazon.co.jp","未分類","未分類","","0","NW7dEmhsAW4jdGc4P_3XC9GYs5Q5JSXgVAR49Flmzv8"
"1","2026/02/18","バンダイ(BANDAI) S.H.Figuarts 仮面ライダーグレア 販売: おたちゅう。秋葉原3号店","-8800","Amazon.co.jp","未分類","未分類","","0","Qh0h7TpFQqJ1j1UMEnD7FJTF5K0UFvCNo5B-DmtvrA4"
"1","2026/02/18","Amazonギフト券・Amazonショッピングカードの金額","7290","Amazon.co.jp","未分類","未分類","","0","h45h3tYlNJxDAA_n5y29SOvUB3I__rujcgLW6-kxfkA"
"1","2026/02/18","GHOSTFIRE 超軽量 ギターエフェクター ボード ペダルボード アルミニウム合金 面ファスナー キャリングバッグ付き Sシリーズ SPL-04white 販売: GHOST FIRE","-7290","Amazon.co.jp","未分類","未分類","","0","RUDxJO0oltzx7SNRs96OWiC3tsvFzP9gvKza2LuHpy8"
"1","2026/02/18","Amazonギフト券・Amazonショッピングカードの金額","6049","Amazon.co.jp","未分類","未分類","","0","X_xcihCXRvDRUoEPGZ74FLBis_p2NBqE-7nukvUA5Rg"
"1","2026/02/18","Noritake ノリタケ カップ & ソーサー ( コーヒー ティー 兼用) 240cc エイダン 黒 ボーンチャイナ T93687/4867-1 販売: Amazon.co.jp","-6049","Amazon.co.jp","食費","カフェ","","0","8Ak4mOXrqxqm5non66HlCyGScygkYPADVDP4p4D7xl8"
"1","2026/02/17","カブシキガイシヤポピンズ","-30390","楽天カード","未分類","未分類","","0","b-gNSv43VJQvR8jQmXOwtyHQE_KXtfZEkx89cCQkkWU"
"1","2026/02/17","西友","-2450","楽天カード","食費","食料品","","0","dJhXg9ktyNLl_gfqM4IDLwdsKBM0yL4tZr1jR7yAPEQ"
"1","2026/02/17","SQ*HANIRO","-100000","VIEW CARD","未分類","未分類","","0","hmGKX4GP8wQsNMNP9jRs5OtV6BwPOF6YiUBceRzvDFo"
"1","2026/02/17","Looopでんき","-5823","麻梨奈三井住友カード","水道・光熱費","電気代","","0","0tHdcW0XObAm_HFnZR4gcPBjJETGxUXqPxmS-3wlKJ4"
"1","2026/02/16","マクドナルドモバイルオーダー","-130","d払い","食費","外食","","0","VVr0a4ckrRXWTDrdDvNUpbJRUUBYwGhhhgv7vx5qc-8"
"1","2026/02/16","マクドナルドモバイルオーダー(ポイント利用分)","130","d払い","未分類","未分類","","0","AL2wgezGvGVgyMhOyh6r7fffXAfAvl1uEHbEm7ztS6A"
"1","2026/02/16","楽天SP タカラ薬局東陽","-1070","楽天カード","健康・医療","薬","","0","Hqup57LKsuk-AmwjGuSAdi9WrnDqYAyH_KYkmeHbpZc"
"1","2026/02/16","ニトリ","-57180","楽天カード","特別な支出","家具・家電","","0","4cFKWLh2-cSJFPl42atv0LtU5-LGpWmKThDlADKaCrg"
"0","2026/02/16","楽天証券投信積立0.5%~","-99999","楽天カード","未分類","未分類","","1","A_Zik0Pf7eXVS5Ny2LI3JPzKEAJlUtFVtOrPRVx4Jtk"
"1","2026/02/16","西友","-2171","楽天カード","食費","食料品","","0","12RbxDEMzTbnLj-wBHJExgVR31vm9q8jlsf8HUHELXs"
"0","2026/02/16","AMAZON.CO.JP","-150000","VIEW CARD","教養・教育","書籍","","1","-LPD1nrev_Vht51y56orY3yD8CoJlDdmRTXxzHVCTFQ"
"1","2026/02/16","Amazonギフト券・Amazonショッピングカードの金額","7488","Amazon.co.jp","未分類","未分類","","0","cBHhfLCKvxW-9GON76L1ZPylna6eaHnHPMsElhAcxTQ"
"1","2026/02/16","HyperX Cloud Stinger Coreワイヤレスゲーミングヘッドセット PS5/PS4/PC対応 ホワイト 2年保証 HHSS1C-KB-WT/G 4P5J1AA 販売: Amazon.co.jp","-7488","Amazon.co.jp","未分類","未分類","","0","vi7D_UefTsVBI5A-0umY_14gvB0AQtB6XMAjC2JMK9U"
"1","2026/02/16","Amazonギフトカード チャージタイプ","-150000","Amazon.co.jp","現金・カード","電子マネー","","0","kBTT0Z31x6daG0lfzZf_HdU35r7cEaa3AFBwkylhUOw"
"1","2026/02/16","Amazonギフト券・Amazonショッピングカードの金額","4440","Amazon.co.jp","未分類","未分類","","0","BndJfaO-Hls47R7HE5hq2EgOhyOKlIEZgqU8Al24utA"
"1","2026/02/16","ZHIYUN ミニソフトボックス、G60ライト用ビデオライトソフトボックス、ZYマウント付きX100/X60, Cinepeer CX100 ライト用 販売: ZHIYUN Official Store","-4440","Amazon.co.jp","未分類","未分類","","0","AYKmpe9YwlgJ4sdYo7tXMD2sOFic4dceBTYJQuEb0rs"
"1","2026/02/16","Amazonギフト券・Amazonショッピングカードの金額","11280","Amazon.co.jp","未分類","未分類","","0","uI2-jMyvWyXDOeFnmpToLjZFFfiK56XRIIp5XDDT70Q"
"1","2026/02/16","(MD/MD互換機用)グレイランサー 30th Anniversary 限定版 - メガドライブ 販売: まいらいふ応援堂【インボイス登録済】","-11280","Amazon.co.jp","未分類","未分類","","0","nH21bIVB4WBQJTLqmE5-H_tFzszb5Bb_C1E-9P5frUg"
"1","2026/02/16","Amazonギフト券・Amazonショッピングカードの金額","7380","Amazon.co.jp","未分類","未分類","","0","27PcutqZBjdwu1QUjuRosLI8Ze7_ymbZ6TnIT2_LrfI"
"1","2026/02/16","妖怪ウォッチ3 スシ/テンプラ バスターズTパック - 3DS 販売: STAR-SELLER【適格請求書発行店】","-7380","Amazon.co.jp","食費","外食","","0","ABS_Qvwx8JWM-XNcrB_jw3cqW_hcE-yqx6FpmDF4ALI"
"1","2026/02/16","Amazonギフト券・Amazonショッピングカードの金額","36090","Amazon.co.jp","未分類","未分類","","0","9fXRi2HZgXVA1HP_J7cB_4bSBx-ux9XptY7Or3c4OD4"
